1?4-20 or 0.2500-20 UNC CLASS 1,1?4-20,0.2500-20,UNC,1A,0.0011,0.2489,0.2367,0,0.2164,0.2108,0.0056,0.1894,1B,0.196,0.207,0.2175,0.2248,0.0073,0.25
1?4-20 or 0.2500-20 UNC CLASS 2,1?4-20,0.2500-20,UNC,2A,0.0011,0.2489,0.2408,0.2367,0.2164,0.2127,0.003731,0.1894,2B,0.196,0.207,0.2175,0.2224,0.0049,0.25
1?4-20 or 0.2500-20 UNC CLASS 3,1?4-20,0.2500-20,UNC,3A,0,0.25,0.2419,0,0.2175,0.2147,0.0028,0.1905,3B,0.196,0.2067,0.2175,0.2211,0.0036,0.25
1?4-28 or 0.2500-28 UNF CLASS 1,1?4-28,0.2500-28,UNF,1A,0.001,0.249,0.2392,0,0.2258,0.2208,0.005,0.2065,1B,0.211,0.22,0.2268,0.2333,0.0065,0.25
1?4-28 or 0.2500-28 UNF CLASS 2,1?4-28,0.2500-28,UNF,2A,0.001,0.249,0.2425,0,0.2258,0.2225,0.003322,0.2065,2B,0.211,0.22,0.2268,0.2311,0.0043,0.25
1?4-28 or 0.2500-28 UNF CLASS 3,1?4-28,0.2500-28,UNF,3A,0,0.25,0.2435,0,0.2268,0.2243,0.0025,0.2075,3B,0.211,0.219,0.2268,0.23,0.0032,0.25
1?4-32 or 0.2500-32 UNEF CLASS 2,1?4-32,0.2500-32,UNEF,2A,0.001,0.249,0.243,0,0.2287,0.2255,0.003229,0.2118,2B,0.216,0.224,0.2297,0.2339,0.0042,0.25
1?4-32 or 0.2500-32 UNEF CLASS 3,1?4-32,0.2500-32,UNEF,3A,0,0.25,0.244,0,0.2297,0.2273,0.0024,0.2128,3B,0.216,0.2229,0.2297,0.2328,0.0031,0.25
5?16-18 or 0.3125-18 UNC CLASS 1,5?16-18,0.3125-18,UNC,1A,0.0012,0.3113,0.2982,0,0.2752,0.2691,0.0061,0.2451,1B,0.252,0.265,0.2764,0.2843,0.0079,0.3125
5?16-18 or 0.3125-18 UNC CLASS 2,5?16-18,0.3125-18,UNC,2A,0.0012,0.3113,0.3026,0.2982,0.2752,0.2712,0.004041,0.2451,2B,0.252,0.265,0.2764,0.2817,0.0053,0.3125
5?16-18 or 0.3125-18 UNC CLASS 3,5?16-18,0.3125-18,UNC,3A,0,0.3125,0.3038,0,0.2764,0.2734,0.003,0.2463,3B,0.252,0.263,0.2764,0.2803,0.0039,0.3125
5?16-20 or 0.3125-20 UN CLASS 2,5?16-20,0.3125-20,UN,2A,0.0012,0.3113,0.3032,0,0.2788,0.2747,0.00406,0.2518,2B,0.258,0.27,0.28,0.2853,0.0053,0.3125
5?16-20 or 0.3125-20 UN CLASS 3,5?16-20,0.3125-20,UN,3A,0,0.3125,0.3044,0,0.28,0.277,0.003,0.253,3B,0.258,0.268,0.28,0.284,0.004,0.3125
5?16-24 or 0.3125-24 UNF CLASS 1,5?16-24,0.3125-24,UNF,1A,0.0011,0.3114,0.3006,0,0.2843,0.2788,0.0055,0.2618,1B,0.267,0.277,0.2854,0.2925,0.0071,0.3125
5?16-24 or 0.3125-24 UNF CLASS 2,5?16-24,0.3125-24,UNF,2A,0.0011,0.3114,0.3042,0,0.2843,0.2806,0.00366,0.2618,2B,0.267,0.277,0.2854,0.2902,0.0048,0.3125
5?16-24 or 0.3125-24 UNF CLASS 3,5?16-24,0.3125-24,UNF,3A,0,0.3125,0.3053,0,0.2854,0.2827,0.0027,0.2629,3B,0.267,0.2754,0.2854,0.289,0.0036,0.3125
5?16-28 or 0.3125-28 UN CLASS 2,5?16-28,0.3125-28,UN,2A,0.001,0.3115,0.305,0,0.2883,0.2848,0.003495,0.269,2B,0.274,0.282,0.2893,0.2938,0.0045,0.3125
5?16-28 or 0.3125-28 UN CLASS 3,5?16-28,0.3125-28,UN,3A,0,0.3125,0.306,0,0.2893,0.2867,0.0026,0.27,3B,0.274,0.2807,0.2893,0.2927,0.0034,0.3125
5?16-32 or 0.3125-32 UNEF CLASS 2,5?16-32,0.3125-32,UNEF,2A,0.001,0.3115,0.3055,0,0.2912,0.2879,0.003302,0.2743,2B,0.279,0.286,0.2922,0.2965,0.0043,0.3125
